Index;Architecture;Encoder;Encoder Weight;Loss;Dataset;Comment;iou;iou_iw;f1;f1_iw;accuracy;accuracy_iw;recall;recall_iw;precision;precision_iw;fpr;fpr_iw
0;FPN;resnext101_32x8d;instagram;Dice_loss;smaller_dataset;epoch100;0.389922;0.987787;0.561071;0.460548;0.999546;0.999547;0.411409;0.988986;0.881878;0.998311;0.000039;0.000040
1;FPN;resnext101_32x8d;instagram;Dice_loss;smaller_dataset;epoch100_1;0.106426;0.981978;0.192377;0.132618;0.999350;0.999350;0.109865;0.984580;0.772687;0.996191;0.000023;0.000023
2;FPN;resnet50;imagenet;Dice_loss;hands_only;epoch100_lr_e-4;0.248199;0.982520;0.397691;0.351753;0.999303;0.999303;0.326602;0.986993;0.508337;0.994832;0.000223;0.000224
3;FPN;resnet50;imagenet;Dice_loss;hands_only;epoch100_lr_e-5;0.213700;0.983910;0.352147;0.273234;0.999384;0.999384;0.237720;0.985807;0.678964;0.997471;0.000079;0.000081
4;FPN;resnet50;imagenet;Dice_loss;hands_only;epoch100_lr_e-6;0.063774;0.982737;0.119902;0.081111;0.999310;0.999310;0.066720;0.984024;0.590892;0.998583;0.000033;0.000033
5;FPN;resnet101;imagenet;Dice_loss;hands_only;epoch100_lr_e-6;0.098218;0.983218;0.178868;0.128358;0.999301;0.999301;0.108022;0.984353;0.519739;0.998301;0.000070;0.000073
6;FPN;resnet152;imagenet;Dice_loss;hands_only;epoch100_lr_e-6;0.017414;0.983100;0.034231;0.021783;0.999303;0.999303;0.017532;0.983601;0.719977;0.999493;0.000005;0.000005
7;FPN;resnext101_32x8d;instagram;Dice_loss;hands_only;epoch100_lr_e-4;0.078741;0.971668;0.145987;0.202147;0.997759;0.997759;0.271870;0.986055;0.099784;0.985395;0.001729;0.001730
8;FPN;resnext101_32x8d;instagram;Dice_loss;hands_only;epoch100_lr_e-5;0.406946;0.983366;0.578481;0.493902;0.999538;0.999538;0.450036;0.988868;0.809529;0.994079;0.000075;0.000076
9;FPN;resnext101_32x8d;instagram;Dice_loss;hands_only;epoch100_lr_4.11E-06;0.401718;0.987203;0.573179;0.554868;0.999430;0.999430;0.543297;0.990361;0.606539;0.996138;0.000249;0.000250
10;FPN;resnext101_32x8d;imagenet;Dice_loss;hands_only;epoch100_lr_4.11E-06;0.227236;0.984894;0.370321;0.280078;0.999423;0.999423;0.240936;0.985970;0.799853;0.998594;0.000043;0.000043
11;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;hands_only;epoch100_lr_4.11E-06;0.541365;0.986990;0.702449;0.657138;0.999624;0.999624;0.630045;0.990844;0.793656;0.995833;0.000116;0.000118
12;UnetPlusPlus;resnext101_32x16d;instagram;Dice_loss;hands_only;epoch300_lr_4.11E-06;0.586317;0.987673;0.739218;0.687419;0.999674;0.999673;0.656739;0.991243;0.845391;0.996027;0.000085;0.000088
13;UnetPlusPlus;resnext101_32x8d;imagenet;Dice_loss;hands_only;epoch500_lr_4.11E-06;0.407243;0.982371;0.578781;0.564374;0.999431;0.999431;0.555161;0.990217;0.604500;0.990628;0.000256;0.000259
14;UnetPlusPlus;resnext101_32x16d;ssl;Dice_loss;hands_only;epoch500_lr_4.11E-06;0.377636;0.972678;0.548238;0.602836;0.999250;0.999250;0.645706;0.991805;0.476336;0.980560;0.000501;0.000503
15;Unet;resnext101_32x8d;instagram;Dice_loss;hands_only;epoch500_lr_4.11E-06;0.383762;0.977407;0.554665;0.576723;0.999330;0.999330;0.592430;0.990096;0.521427;0.986285;0.000383;0.000385
16;Unet;resnext101_32x16d;instagram;Dice_loss;hands_only;epoch500_lr_4.11E-06;0.516867;0.984864;0.681493;0.700347;0.999530;0.999530;0.713508;0.992849;0.652228;0.991616;0.000268;0.000272
17;Unet;resnext101_32x8d;imagenet;Dice_loss;hands_only;epoch500_lr_4.11E-06;0.222648;0.930391;0.364206;0.423668;0.998830;0.998830;0.475413;0.988763;0.295162;0.940488;0.000800;0.000804
18;PSPNet;resnext101_32x8d;instagram;Dice_loss;hands_only;epoch500_lr_4.11E-06;0.078817;0.881967;0.146117;0.236966;0.996667;0.996667;0.404729;0.989014;0.089151;0.889158;0.002916;0.002919
19;UnetPlusPlus;resnext101_32x16d;instagram;Dice_loss;hands_only;epoch500_lr_4.11E-06_CUSTOM_SPLIT-50-10-40;0.561123;0.989292;0.718871;0.717114;0.999605;0.999605;0.715947;0.992453;0.721819;0.996285;0.000195;0.000198
20;UnetPlusPlus;resnext101_32x16d;instagram;Dice_loss;hands_only;epoch500_lr_4.11E-06_CUSTOM_SPLIT-65-10-25;0.471752;0.987536;0.641075;0.656283;0.999474;0.999474;0.666828;0.992017;0.617237;0.994737;0.000292;0.000295
21;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;half_data;epoch500_lr_4.11;0.533906;0.989163;0.696139;0.627294;0.999638;0.999638;0.588494;0.990754;0.851980;0.997993;0.000072;0.000075
22;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;half_data;epoch2_lr_4.11;0.027010;0.798646;0.052600;0.119309;0.980400;0.980400;0.772203;0.994228;0.027227;0.801562;0.019453;0.019544
25;UnetPlusPlus;resnext101_32x8d;instagram;Tversky_Loss;half_data;epoch250_lr_1.20E-06;0.211196;0.835807;0.348739;0.505949;0.998096;0.998096;0.723334;0.992504;0.229755;0.839682;0.001710;0.001726
26;UnetPlusPlus;resnext101_32x8d;instagram;Tversky_Loss;half_data;epoch240_lr_0.0001;0.058820;0.959562;0.111104;0.139880;0.998094;0.998094;0.169074;0.984647;0.082736;0.973467;0.001322;0.001323
27;UnetPlusPlus;resnext101_32x8d;instagram;Tversky_Loss;half_data;epoch250_lr_0.00001;0.031647;0.528766;0.061353;0.136869;0.983555;0.983555;0.762779;0.993589;0.031962;0.530793;0.016290;0.016310
28;UnetPlusPlus;resnext101_32x8d;instagram;Tversky_Loss;half_data;epochlr_0.00001then0.0001;0.000662;0.000664;0.001324;0.003301;0.090617;0.090617;0.855222;0.997378;0.000662;0.000671;0.909922;0.909915
29;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;all_data;epoch_lr_4.11E-06;0.000000;0.983500;0.000000;0.000000;0.999295;0.999295;0.000000;0.983500;NaN;1.000000;0.000000;0.000000
31;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;smaller_dataset;epoch300_lr_4.11E-06;0.352240;0.986471;0.520972;0.580437;0.999186;0.999186;0.628243;0.990684;0.444991;0.995524;0.000552;0.000556
32;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;smaller_dataset+all_data;WITH2DATASET_epoch301_lr_4.11E-06;0.352240;0.986471;0.520972;0.580437;0.999186;0.999186;0.628243;0.990684;0.444991;0.995524;0.000552;0.000556
33;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;half_data;WEIRD_epoch300_lr_4.11E-06;0.352240;0.986471;0.520972;0.580437;0.999186;0.999186;0.628243;0.990684;0.444991;0.995524;0.000552;0.000556
36;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;half_split_test_val_distribution;batch32_size160_epoch200_lr_9.38E-05;0.202196;0.981011;0.336377;0.356426;0.998968;0.998968;0.371175;0.986873;0.307545;0.993625;0.000589;0.000593
37;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;half_split_test_val_distribution;batch_3_size480_epoch200_lr_9.38E-05;0.094134;0.975130;0.172070;0.217295;0.998214;0.998214;0.263458;0.985602;0.127755;0.988329;0.001268;0.001276
38;UnetPlusPlus;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(50-3-3)-(80-1...;batch32_size160_epoch4256_lr_1.09E-05;0.711307;0.989241;0.831302;0.835148;0.999760;0.999760;0.837731;0.996197;0.824971;0.992600;0.000125;0.000127
39;UnetPlusPlus;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(33-3-3)-(80-1...;batch_25_size160_epoch3377_lr_1.09E-05;0.712563;0.989533;0.832160;0.818193;0.999770;0.999770;0.809139;0.995881;0.856529;0.993200;0.000096;0.000097
40;UnetPlusPlus;resnext101_32x8d;instagram;Dice_loss;half_split_test_val_distribution(50-3-3)-(80-1...;batch32_size160_epoch4256_lr_1.09E-05;0.712425;0.991309;0.832065;0.778556;0.999788;0.999788;0.746549;0.994377;0.939708;0.996771;0.000034;0.000036
41;UnetPlusPlus;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(10-3-3)-(80-1...;batch_25_size160_epoch2977_lr_1.09E-05;0.734209;0.993956;0.846737;0.800786;0.999803;0.999803;0.772827;0.995091;0.936278;0.998523;0.000037;0.000039
42;UnetPlusPlus;resnext101_32x16d;instagram;Dice_loss;half_split_test_val_distribution(50-3-3)-(80-1...;batch16_size160_epoch4256_lr_1.09E-05;0.746705;0.992754;0.854987;0.811233;0.999812;0.999812;0.784469;0.995364;0.939436;0.997229;0.000036;0.000037
43;UnetPlusPlus;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(70-3-3)-(80-1...;batch32_size160_epoch9000_lr_1.09E-05;0.574645;0.958234;0.729872;0.788717;0.999565;0.999565;0.833518;0.996249;0.649152;0.961712;0.000318;0.000320
44;Unet;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(50-3-3)-(80-1...;batch32_size160_epoch9000_lr_5.09E-05;0.688984;0.985966;0.815856;0.797672;0.999750;0.999750;0.785993;0.995221;0.848078;0.990375;0.000099;0.000102
45;FPN;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(50-3-3)-(80-1...;batch32_size160_epoch1321_lr_5.09E-05;0.574446;0.963299;0.729712;0.682296;0.999659;0.999659;0.653967;0.993930;0.825302;0.968893;0.000098;0.000100
46;DeepLabV3Plus;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(50-3-3)-(80-1...;batch32_size160_epoch1321_lr_5.09E-05;0.639846;0.991001;0.780373;0.755139;0.999707;0.999707;0.739203;0.994587;0.826400;0.995918;0.000109;0.000113
47;PAN;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(50-3-3)-(80-1...;batch32_size160_epoch1321_lr_5.09E-05;0.651868;0.983513;0.789249;0.751520;0.999726;0.999726;0.728310;0.994435;0.861318;0.988691;0.000083;0.000086
48;MAnet;resnext101_32x8d;instagram;Jaccard_Loss;half_split_test_val_distribution(50-3-3)-(80-1...;batch32_size160_epoch1321_lr_5.09E-05;0.611763;0.981850;0.759123;0.721414;0.999688;0.999688;0.698290;0.993557;0.831567;0.987778;0.000100;0.000101
